Identificador de persona,Identificador de hogar,Area,Sexo,Edad,Seguro Social - Alternativa 1,Seguro Social - Alternativa 2,Estado civil,Nivel de instrucción,Nivel de instrucción.1,Cómo se considera,Condición de inactividad,Categoría de ocupación,Cuántos años trabaja,Condición de actividad,Ingreso Laboral,Grupo de Ocupación CIUO8 (población ocupada de 15 años y más),Rama de Actividad CIIU4 (población ocupada de 15 años y más),Ingreso per cápita,Pobreza,Extrema Pobreza,Forma de tenencia de la vivienda,"Con relación al mes anterior, la situación económica de su hogar es:",Cómo cree usted que será la situación económica de su hogar dentro de los próximos 3 meses:,Planea usted o algún miembro del hogar adquirir un vehículo en los próximos 3 meses,"Planea usted o algún miembro del hogar adquirir un inmueble (casa, departamento, pieza) en los próximos 3 meses","Usted o algún miembro del hogar tiene planes de endeudamiento en los próximos 3 meses (bancos, financieras, etc.)","Con relación al mes anterior, la situación económica del país es:",Usted considera que durante los próximos 3 meses la situación económica del país será:,"En los 3 meses anteriores, considera que la situación en Ecuador para encontrar/mejorar un puesto de trabajo es:",Considera usted que la situación en Ecuador para encontrar/mejorar un puesto de trabajo dentro de 3 meses será:,Género del jefe/a de hogar,Cónyuge,Hijo o Hija,Parientes,No parientes,Empleado(a) doméstico(a),Tipology,PARROQUIA_CODIGO,Número de mujeres en el hogar,Número de personas del hogar,Elección política,Votos proporcionales,random
0,10015290090200507101,100152900902005071, Rural, Mujer,74.0," IESS, seguro general", Ninguno, Separado(a), Primaria,Educación Básica,Indígena, Jubilado pensión,nan,,Población Económicamente Inactiva,nan,nan,nan,300.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Igual, Peor, No, No, No, Peor, Peor, Peor, Peor,Mujer,0,0,0,0,0,Hogar tipo 1,100152,1,1,1030,3,5
1,10015290090200507101,100152900902005071, Rural, Mujer,74.0," IESS, seguro general", Ninguno, Separado(a), Primaria,Educación Básica,Indígena, Jubilado pensión,nan,,Población Económicamente Inactiva,nan,nan,nan,300.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Igual, Peor, No, No, No, Peor, Peor, Peor, Peor,Mujer,0,0,0,0,0,Hogar tipo 1,100152,1,1,18,1,6
2,10015290090200507101,100152900902005071, Rural, Mujer,74.0," IESS, seguro general", Ninguno, Separado(a), Primaria,Educación Básica,Indígena, Jubilado pensión,nan,,Población Económicamente Inactiva,nan,nan,nan,300.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Igual, Peor, No, No, No, Peor, Peor, Peor, Peor,Mujer,0,0,0,0,0,Hogar tipo 1,100152,1,1,2,2,12
3,10015290090200507101,100152900902005071, Rural, Mujer,74.0," IESS, seguro general", Ninguno, Separado(a), Primaria,Educación Básica,Indígena, Jubilado pensión,nan,,Población Económicamente Inactiva,nan,nan,nan,300.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Igual, Peor, No, No, No, Peor, Peor, Peor, Peor,Mujer,0,0,0,0,0,Hogar tipo 1,100152,1,1,Ausentes,3,9
4,10015290090200507101,100152900902005071, Rural, Mujer,74.0," IESS, seguro general", Ninguno, Separado(a), Primaria,Educación Básica,Indígena, Jubilado pensión,nan,,Población Económicamente Inactiva,nan,nan,nan,300.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Igual, Peor, No, No, No, Peor, Peor, Peor, Peor,Mujer,0,0,0,0,0,Hogar tipo 1,100152,1,1,Blancos,2,3
5,10015290090200507101,100152900902005071, Rural, Mujer,74.0," IESS, seguro general", Ninguno, Separado(a), Primaria,Educación Básica,Indígena, Jubilado pensión,nan,,Población Económicamente Inactiva,nan,nan,nan,300.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Igual, Peor, No, No, No, Peor, Peor, Peor, Peor,Mujer,0,0,0,0,0,Hogar tipo 1,100152,1,1,Nulos,2,6
6,10015290090200503101,100152900902005031, Rural, Hombre,63.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Incapacitado,nan,,Población Económicamente Inactiva,nan,nan,nan,25.0,POBRE,INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,1030,3,5
7,10015290090200503101,100152900902005031, Rural, Hombre,63.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Incapacitado,nan,,Población Económicamente Inactiva,nan,nan,nan,25.0,POBRE,INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,18,1,6
8,10015290090200503101,100152900902005031, Rural, Hombre,63.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Incapacitado,nan,,Población Económicamente Inactiva,nan,nan,nan,25.0,POBRE,INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,2,2,12
9,10015290090200503101,100152900902005031, Rural, Hombre,63.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Incapacitado,nan,,Población Económicamente Inactiva,nan,nan,nan,25.0,POBRE,INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,Ausentes,3,9
10,10015290090200503101,100152900902005031, Rural, Hombre,63.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Incapacitado,nan,,Población Económicamente Inactiva,nan,nan,nan,25.0,POBRE,INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,Blancos,2,3
11,10015290090200503101,100152900902005031, Rural, Hombre,63.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Incapacitado,nan,,Población Económicamente Inactiva,nan,nan,nan,25.0,POBRE,INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,Nulos,2,6
12,10015290090200504102,100152900902005041, Rural, Mujer,40.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,105.6,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Igual, No, No, No, Igual, Peor, Peor, Peor,Hombre,1,2,1,1,0,Hogar tipo 16,100152,3,5,1030,3,5
13,10015290090200504102,100152900902005041, Rural, Mujer,40.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,105.6,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Igual, No, No, No, Igual, Peor, Peor, Peor,Hombre,1,2,1,1,0,Hogar tipo 16,100152,3,5,18,1,6
14,10015290090200504102,100152900902005041, Rural, Mujer,40.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,105.6,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Igual, No, No, No, Igual, Peor, Peor, Peor,Hombre,1,2,1,1,0,Hogar tipo 16,100152,3,5,2,2,12
15,10015290090200504102,100152900902005041, Rural, Mujer,40.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,105.6,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Igual, No, No, No, Igual, Peor, Peor, Peor,Hombre,1,2,1,1,0,Hogar tipo 16,100152,3,5,Ausentes,3,9
16,10015290090200504102,100152900902005041, Rural, Mujer,40.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,105.6,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Igual, No, No, No, Igual, Peor, Peor, Peor,Hombre,1,2,1,1,0,Hogar tipo 16,100152,3,5,Blancos,2,3
17,10015290090200504102,100152900902005041, Rural, Mujer,40.0, Ninguno, Ninguno, Casado(a), Primaria,Educación Básica,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,105.6,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Igual, No, No, No, Igual, Peor, Peor, Peor,Hombre,1,2,1,1,0,Hogar tipo 16,100152,3,5,Nulos,2,6
18,10015290090200501102,100152900902005011, Rural, Mujer,69.0, Ninguno, Ninguno, Casado(a), Ninguno,Ninguno,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,210.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,1030,3,5
19,10015290090200501102,100152900902005011, Rural, Mujer,69.0, Ninguno, Ninguno, Casado(a), Ninguno,Ninguno,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,210.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,18,1,6
20,10015290090200501102,100152900902005011, Rural, Mujer,69.0, Ninguno, Ninguno, Casado(a), Ninguno,Ninguno,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,210.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,2,2,12
21,10015290090200501102,100152900902005011, Rural, Mujer,69.0, Ninguno, Ninguno, Casado(a), Ninguno,Ninguno,Indígena, Ama de casa,nan,,Población Económicamente Inactiva,nan,nan,nan,210.0,NO POBRE,NO INDIGENTE,Propia y totalmente pagada, Peor, Peor, No, No, No, Peor, Peor, Peor, Peor,Hombre,1,0,0,1,0,Hogar tipo 11,100152,1,2,Ausentes,3,9
